built S_1 mod x^112501 in 0s
n=57 wrong_sign=0 [] zeros=117 max_zero_m=294 mu_of_it=9.05e-03 (0.0s, total 0s)
n=58 wrong_sign=0 [] zeros=119 max_zero_m=299 mu_of_it=8.89e-03 (0.0s, total 0s)
n=59 wrong_sign=0 [] zeros=121 max_zero_m=304 mu_of_it=8.73e-03 (0.0s, total 0s)
n=60 wrong_sign=0 [] zeros=123 max_zero_m=309 mu_of_it=8.58e-03 (0.0s, total 0s)
n=61 wrong_sign=0 [] zeros=125 max_zero_m=314 mu_of_it=8.44e-03 (0.0s, total 0s)
n=62 wrong_sign=0 [] zeros=127 max_zero_m=319 mu_of_it=8.30e-03 (0.0s, total 0s)
n=63 wrong_sign=0 [] zeros=129 max_zero_m=324 mu_of_it=8.16e-03 (0.0s, total 0s)
n=64 wrong_sign=0 [] zeros=131 max_zero_m=329 mu_of_it=8.03e-03 (0.0s, total 0s)
n=65 wrong_sign=0 [] zeros=133 max_zero_m=334 mu_of_it=7.91e-03 (0.0s, total 0s)
n=66 wrong_sign=0 [] zeros=135 max_zero_m=339 mu_of_it=7.78e-03 (0.0s, total 0s)
n=67 wrong_sign=0 [] zeros=137 max_zero_m=344 mu_of_it=7.66e-03 (0.0s, total 0s)
n=68 wrong_sign=0 [] zeros=139 max_zero_m=349 mu_of_it=7.55e-03 (0.0s, total 0s)
n=69 wrong_sign=0 [] zeros=141 max_zero_m=354 mu_of_it=7.44e-03 (0.0s, total 0s)
n=70 wrong_sign=0 [] zeros=143 max_zero_m=359 mu_of_it=7.33e-03 (0.0s, total 0s)
n=71 wrong_sign=0 [] zeros=145 max_zero_m=364 mu_of_it=7.22e-03 (0.0s, total 0s)
n=72 wrong_sign=0 [] zeros=147 max_zero_m=369 mu_of_it=7.12e-03 (0.0s, total 1s)
n=73 wrong_sign=0 [] zeros=149 max_zero_m=374 mu_of_it=7.02e-03 (0.0s, total 1s)
n=74 wrong_sign=0 [] zeros=151 max_zero_m=379 mu_of_it=6.92e-03 (0.0s, total 1s)
n=75 wrong_sign=0 [] zeros=153 max_zero_m=384 mu_of_it=6.83e-03 (0.0s, total 1s)
n=76 wrong_sign=0 [] zeros=155 max_zero_m=389 mu_of_it=6.73e-03 (0.0s, total 1s)
n=77 wrong_sign=0 [] zeros=157 max_zero_m=394 mu_of_it=6.65e-03 (0.0s, total 1s)
n=78 wrong_sign=0 [] zeros=159 max_zero_m=399 mu_of_it=6.56e-03 (0.0s, total 1s)
n=79 wrong_sign=0 [] zeros=161 max_zero_m=404 mu_of_it=6.47e-03 (0.0s, total 1s)
n=80 wrong_sign=0 [] zeros=163 max_zero_m=409 mu_of_it=6.39e-03 (0.0s, total 1s)
n=81 wrong_sign=0 [] zeros=165 max_zero_m=414 mu_of_it=6.31e-03 (0.0s, total 1s)
n=82 wrong_sign=0 [] zeros=167 max_zero_m=419 mu_of_it=6.23e-03 (0.0s, total 1s)
n=83 wrong_sign=0 [] zeros=169 max_zero_m=424 mu_of_it=6.15e-03 (0.0s, total 1s)
n=84 wrong_sign=0 [] zeros=171 max_zero_m=429 mu_of_it=6.08e-03 (0.0s, total 1s)
